metric,theory,mechanism,x_key,x,seed_mean,ci95,q1,q3,rco_verification,rco_dispute,status,aux
residual_coordination_overhead,transaction_cost,receipt_only,cv,1.5,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,1.5,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,1.75,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,1.75,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,1.75,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,2.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,2.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,2.0,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,2.25,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,2.25,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,2.25,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,2.5,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,2.5,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,2.5,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,2.75,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,2.75,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,2.75,inf,0.0,,,,,,inf
moral_hazard_residual,agency,receipt_only,cv,3.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,receipt_only,cv,3.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,receipt_only,cv,3.0,inf,0.0,,,,,,inf
moral_hazard_residual,agency,no_reputation,cv,0.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,no_reputation,cv,0.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,no_reputation,cv,0.0,35.0,0.0,,,,,,35
moral_hazard_residual,agency,no_reputation,cv,0.25,0.6547775000000001,0.008133415267713233,,,,,,0.22119921692859512
residual_coordination_overhead,transaction_cost,no_reputation,cv,0.25,0.043585,0.00027138278046949385,,,0.025,0.018585,,0.05
dispute_resolution_time,institutional,no_reputation,cv,0.25,14.0,0.0,,,,,,14
moral_hazard_residual,agency,no_reputation,cv,0.5,0.42913,0.00836733590765395,,,,,,0.3934693402873666
residual_coordination_overhead,transaction_cost,no_reputation,cv,0.5,0.077821,0.000556408685043574,,,0.05,0.027821,,0.05
dispute_resolution_time,institutional,no_reputation,cv,0.5,7.0,0.0,,,,,,7
moral_hazard_residual,agency,no_reputation,cv,0.75,0.27351,0.007204351455708816,,,,,,0.5276334472589853
residual_coordination_overhead,transaction_cost,no_reputation,cv,0.75,0.10556075000000001,0.0008263880936119762,,,0.07500000000000001,0.030560750000000005,,0.05
dispute_resolution_time,institutional,no_reputation,cv,0.75,5.0,0.0,,,,,,5
moral_hazard_residual,agency,no_reputation,cv,1.0,0.17800000000000002,0.005824118637097796,,,,,,0.6321205588285577
residual_coordination_overhead,transaction_cost,no_reputation,cv,1.0,0.13052450000000002,0.0009855192260146144,,,0.1,0.030524500000000006,,0.05
dispute_resolution_time,institutional,no_reputation,cv,1.0,4.0,0.0,,,,,,4
moral_hazard_residual,agency,no_reputation,cv,1.25,0.11557500000000001,0.004386379898750405,,,,,,0.7134952031398099
residual_coordination_overhead,transaction_cost,no_reputation,cv,1.25,0.153669,0.0010438390924531105,,,0.125,0.028669,,0.05
dispute_resolution_time,institutional,no_reputation,cv,1.25,3.0,0.0,,,,,,3
moral_hazard_residual,agency,no_reputation,cv,1.5,0.07574499999999999,0.0032837643494359123,,,,,,0.7768698398515702
residual_coordination_overhead,transaction_cost,no_reputation,cv,1.5,0.17634175000000002,0.0010745830451013047,,,0.15000000000000002,0.026341750000000004,,0.05
dispute_resolution_time,institutional,no_reputation,cv,1.5,3.0,0.0,,,,,,3
moral_hazard_residual,agency,no_reputation,cv,1.75,0.05140249999999999,0.0024240849315678987,,,,,,0.8262260565495548
residual_coordination_overhead,transaction_cost,no_reputation,cv,1.75,0.19926850000000002,0.0010510422111505333,,,0.17500000000000002,0.0242685,,0.05
dispute_resolution_time,institutional,no_reputation,cv,1.75,2.0,0.0,,,,,,2
moral_hazard_residual,agency,no_reputation,cv,2.0,0.0355575,0.001965250012907346,,,,,,0.8646647167633873
residual_coordination_overhead,transaction_cost,no_reputation,cv,2.0,0.22258750000000002,0.0011458949032053152,,,0.2,0.022587500000000003,,0.05
dispute_resolution_time,institutional,no_reputation,cv,2.0,2.0,0.0,,,,,,2
moral_hazard_residual,agency,no_reputation,cv,2.25,0.024942499999999996,0.0014006527904855469,,,,,,0.8946007754381357
residual_coordination_overhead,transaction_cost,no_reputation,cv,2.25,0.24584250000000002,0.0010705489949582227,,,0.225,0.0208425,,0.05
dispute_resolution_time,institutional,no_reputation,cv,2.25,2.0,0.0,,,,,,2
moral_hazard_residual,agency,no_reputation,cv,2.5,0.017935,0.0011470525568084524,,,,,,0.9179150013761012
residual_coordination_overhead,transaction_cost,no_reputation,cv,2.5,0.2696435,0.0011360068696993169,,,0.25,0.019643500000000005,,0.05
dispute_resolution_time,institutional,no_reputation,cv,2.5,2.0,0.0,,,,,,2
moral_hazard_residual,agency,no_reputation,cv,2.75,0.0132425,0.000914705245398536,,,,,,0.9360721387932924
residual_coordination_overhead,transaction_cost,no_reputation,cv,2.75,0.29391025000000004,0.0011388089774364704,,,0.275,0.018910250000000003,,0.05
dispute_resolution_time,institutional,no_reputation,cv,2.75,2.0,0.0,,,,,,2
moral_hazard_residual,agency,no_reputation,cv,3.0,0.009680000000000001,0.0006890717087487917,,,,,,0.950212931632136
residual_coordination_overhead,transaction_cost,no_reputation,cv,3.0,0.31798175000000006,0.0011432800589103356,,,0.30000000000000004,0.01798175,,0.05
dispute_resolution_time,institutional,no_reputation,cv,3.0,2.0,0.0,,,,,,2
moral_hazard_residual,agency,centralized,cv,0.0,1.0,0.0,,,,,,0.0
residual_coordination_overhead,transaction_cost,centralized,cv,0.0,0.0,0.0,,,0.0,0.0,,0.05
dispute_resolution_time,institutional,centralized,cv,0.0,35.0,0.0,,,,,,35
moral_hazard_residual,agency,centralized,cv,0.25,0.6547775000000001,0.008133415267713233,,,,,,0.22119921692859512
residual_coordination_overhead,transaction_cost,centralized,cv,0.25,0.043585,0.00027138278046949385,,,0.025,0.018585,,0.05
dispute_resolution_time,institutional,centralized,cv,0.25,14.0,0.0,,,,,,14
moral_hazard_residual,agency,centralized,cv,0.5,0.42913,0.00836733590765395,,,,,,0.3934693402873666
residual_coordination_overhead,transaction_cost,centralized,cv,0.5,0.077821,0.000556408685043574,,,0.05,0.027821,,0.05
dispute_resolution_time,institutional,centralized,cv,0.5,7.0,0.0,,,,,,7
moral_hazard_residual,agency,centralized,cv,0.75,0.27351,0.007204351455708816,,,,,,0.5276334472589853
residual_coordination_overhead,transaction_cost,centralized,cv,0.75,0.10556075000000001,0.0008263880936119762,,,0.07500000000000001,0.030560750000000005,,0.05
dispute_resolution_time,institutional,centralized,cv,0.75,5.0,0.0,,,,,,5
moral_hazard_residual,agency,centralized,cv,1.0,0.17800000000000002,0.005824118637097796,,,,,,0.6321205588285577
residual_coordination_overhead,transaction_cost,centralized,cv,1.0,0.13052450000000002,0.0009855192260146144,,,0.1,0.030524500000000006,,0.05
dispute_resolution_time,institutional,centralized,cv,1.0,4.0,0.0,,,,,,4
moral_hazard_residual,agency,centralized,cv,1.25,0.11557500000000001,0.004386379898750405,,,,,,0.7134952031398099
residual_coordination_overhead,transaction_cost,centralized,cv,1.25,0.153669,0.0010438390924531105,,,0.125,0.028669,,0.05
dispute_resolution_time,institutional,centralized,cv,1.25,3.0,0.0,,,,,,3
moral_hazard_residual,agency,centralized,cv,1.5,0.07574499999999999,0.0032837643494359123,,,,,,0.7768698398515702
residual_coordination_overhead,transaction_cost,centralized,cv,1.5,0.17634175000000002,0.0010745830451013047,,,0.15000000000000002,0.026341750000000004,,0.05
dispute_resolution_time,institutional,centralized,cv,1.5,3.0,0.0,,,,,,3
moral_hazard_residual,agency,centralized,cv,1.75,0.05140249999999999,0.0024240849315678987,,,,,,0.8262260565495548
residual_coordination_overhead,transaction_cost,centralized,cv,1.75,0.19926850000000002,0.0010510422111505333,,,0.17500000000000002,0.0242685,,0.05
dispute_resolution_time,institutional,centralized,cv,1.75,2.0,0.0,,,,,,2
moral_hazard_residual,agency,centralized,cv,2.0,0.0355575,0.001965250012907346,,,,,,0.8646647167633873
residual_coordination_overhead,transaction_cost,centralized,cv,2.0,0.22258750000000002,0.0011458949032053152,,,0.2,0.022587500000000003,,0.05
dispute_resolution_time,institutional,centralized,cv,2.0,2.0,0.0,,,,,,2
moral_hazard_residual,agency,centralized,cv,2.25,0.024942499999999996,0.0014006527904855469,,,,,,0.8946007754381357
residual_coordination_overhead,transaction_cost,centralized,cv,2.25,0.24584250000000002,0.0010705489949582227,,,0.225,0.0208425,,0.05
dispute_resolution_time,institutional,centralized,cv,2.25,2.0,0.0,,,,,,2
moral_hazard_residual,agency,centralized,cv,2.5,0.017935,0.0011470525568084524,,,,,,0.9179150013761012
residual_coordination_overhead,transaction_cost,centralized,cv,2.5,0.2696435,0.0011360068696993169,,,0.25,0.019643500000000005,,0.05
dispute_resolution_time,institutional,centralized,cv,2.5,2.0,0.0,,,,,,2
moral_hazard_residual,agency,centralized,cv,2.75,0.0132425,0.000914705245398536,,,,,,0.9360721387932924
residual_coordination_overhead,transaction_cost,centralized,cv,2.75,0.29391025000000004,0.0011388089774364704,,,0.275,0.018910250000000003,,0.05
dispute_resolution_time,institutional,centralized,cv,2.75,2.0,0.0,,,,,,2
moral_hazard_residual,agency,centralized,cv,3.0,0.009680000000000001,0.0006890717087487917,,,,,,0.950212931632136
residual_coordination_overhead,transaction_cost,centralized,cv,3.0,0.31798175000000006,0.0011432800589103356,,,0.30000000000000004,0.01798175,,0.05
dispute_resolution_time,institutional,centralized,cv,3.0,2.0,0.0,,,,,,2
